Site Name,Date (DD/MM/YY),Length_m,Width0_m,Width1_m,Width2_m,Width3_m,Width4_m,Width5_m,RCTdepth_cm,RCT_marked (Y),Temperature_C,DO_Percent,Depth0_cm,Depth1_cm,Depth2_cm,Depth3_cm,Depth4_cm,Depth5_cm,Vel0_ms,Vel1_ms,Vel2_ms,Vel3_ms,Vel4_ms,Vel5_ms,Notes on measuring depth & vel
OL-SEQ2-2021,5/05/21,22.1,,2.5,2.9,3.5,5.1,3.7,7,Y,15.4,89.2,,43,70,44,33,,,0.068,0,0,0,,
OL-SEQ3-2021,5/05/21,17.8,,3.2,4.3,4.1,4.1,4.8,12,Y,13.8,84.2,,37,47,61,61,,,0.138,0,0,0,,
SG-SEQ1-2021,8/05/21,9.5,,3.3,2.9,2.4,,,5.5,Y,12,81.3,,13,25,26,20,,,0.055,0.065,0.024,0,,
SG-SEQ2-2021,8/05/21,40.3,,5.5,6.3,6.6,3,,8,Y,12,77,,13,61,26,72,19,,0.031,0,0,0,0,#5 is at tail end of pool
SG-SEQ3-2021,8/05/21,58.4,,3.4,7,2.6,2.3,,7,Y,11.8,79.2,,11,41,56,73,34,,0.14,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
DG-SEQ1-2021,1/06/21,,,2.2,4,7,,,5,Y,13.4,42,,23,30,39,,,,0,0,0,,,
DG-SEQ2-2021,1/06/21,,,4.2,4.4,3,,,2,Y,13.2,45.6,,46,78,39,,,,0,0,0,,,
DG-SEQ3-2021,1/06/21,,,3.3,1.6,1.7,,,2,Y,13.7,69.4,,19,25,14,16,,,0,0,0,0,,
LAG1-SEQ1-2021,3/06/21,,,2.9,6,9.4,9,,15,Y,15.2,98,,37,68,73,83,83,,0.258,0.119,0.184,0.105,0.104,
LAG1-SEQ2-2021,3/06/21,,,6.3,5.6,6.6,,,14,Y,15.2,100.2,,54,52,47,27,,,0.299,0.344,0.317,0.353,,VD4 in shallow run at tail end of pool (still seeing fish foraging)
LAG1-SEQ3-2021,3/06/21,,,4.9,7.2,7.1,7.8,8.4,19,Y,15.6,101.4,,43,53,55,58,,,0.141,0.116,0.044,0.119,,
LAG2-SEQ1-2021,31/05/21,,,6,3.4,7.4,8,,9,Y (remarked),15.2,102,,61,64,67,50,,,0.302,0.107,0.075,0,,"RCT missing, re-marked so might be different than previously marked RCT"
LAG2-SEQ2-2021,31/05/21,,,8,8,9.3,9.5,9.9,23,Y,14.9,101.2,,96,91,64,57,,,0.17,0.102,0,0,,
LAG2-SEQ3-2021,31/05/21,,,6.1,6.7,6,7.2,,20,Y,14.4,99.5,,52,55,50,42,,,0.188,0.14,0.044,0.065,,
OL-SEQ1-2021,2/06/21,,,5.8,5.3,3.4,,,5,Y,17.2,81.7,,32,30,27,,,,0,0,0,,,
OL-SEQ2-2021,2/06/21,,,4.3,3.6,4.8,3.5,,7,Y,14.2,84.8,,35,66,39,25,,,0.022,0,0,0,,
OL-SEQ3-2021,2/06/21,,2.5,3,5,4.5,4.5,,11,N,14.9,79.1,40,41,51,66,70,,0.083,0.038,0,0,0,,"velocity meter struggled to move despite obvious flow at head, surface flow at head was 0.110, took new width and VD at head (W0, VD0)"
SG-SEQ1-2021,5/06/21,,,3,3.3,2.4,,,4.5,Y,14.8,78.3,,17,26,25.5,20,,,0.023,0,0,0,,VD1 is surface velocity
SG-SEQ2-2021,5/06/21,,,3.4,3.8,7.5,2.7,,6,Y,13.8,43.7,,18,65,35,72,26.5,,0.038,0,0,0,0,
SG-SEQ3-2021,5/06/21,,,2,7.2,4.3,3.5,,4.5,Y,14.8,71.9,,13,36,76,39,48.5,,0.061,0,0,0,0,VD1 is surface velocity
,,,,,,,,,,,,,,,,,,,,,,,,,
DG-SEQ1-2021,28/07/21,,,0.9,1,3.7,,,0,removed,14.3,8.1,,3,9,18,,,,0,0,0,,,
DG-SEQ2-2021,28/07/21,,,3.7,3.1,,,,0,removed,14.4,12,,25,54,55,,,,0,0,0,,,
LAG1-SEQ1-2021,27/07/21,,,2.6,5.9,9.3,2.2,,17.8,Y,17.8,102.8,,29,77,73,78,74,,0.218,0.149,0.095,0.102,0.064,
LAG1-SEQ2-2021,27/07/21,,,5.8,6.7,6.6,,,17.7,Y,17.7,103.9,,55,46,47,14,,,0.313,0.176,0.16,0.265,,"used June location for VD3, used VD2 loc for Cam 1 and invert"
LAG1-SEQ3-2021,27/07/21,,,5.3,6.2,6.6,6.5,6.9,7.6,Y,17.4,103.6,,43,44,50,63.5,,,0.08,0.222,0.162,0.036,,Head: flow coming in at head in 2 places created weird flow patterns; VD2 moved more toward LB than site map VD2 (thalweg deepest point shifted)
LAG2-SEQ1-2021,26/07/21,,,6,4,5.5,7.2,,16,Y,16.1,101.7,,51,56,52,49,,,0.262,0.186,0.142,0.073,,
LAG2-SEQ2-2021,26/07/21,,,8.3,7.2,9.2,,,20,Y,16.7,102.4,,87,89,51,70,41,,0.049,0.103,0,0.014,0,"added VD5 to site map, new for July bc we saw fish"
LAG2-SEQ3-2021,26/07/21,,,6.6,6,6.3,6,8.8,18.5,N,15.7,98.7,,50.5,52,43,34,,,0.075,0.075,0.052,0.107,,Head of pool flow coming in many different directions leading to weird flow patterns and many eddies (fish facing bank to forage)
