SiteName,Site,Seq,Date,Month,Vol_m3,Temperature_C,DO_Percent,Max_vel,RCTdepth_cm,Length_m
DG1-SEQ1-2021,DG1,SEQ1,2021-09-26,9,1.36675,14.5,19.3,0,0,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-09-26,9,4.3427999999999995,14.4,11.4,0,0,5.6
LAG1-SEQ1-2021,LAG1,SEQ1,2021-09-12,9,158.79825,16.5,99.4,0.159,15,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-09-12,9,62.85600000000001,16.7,99.3,0.299,13,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-09-12,9,150.44199999999998,16.7,98.5,0.085,16,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-09-11,9,50.524424999999994,17.9,97.6,0.412,16,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-09-11,9,291.9735,17.7,98,0.097,20,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-09-11,9,78.04260000000001,17.6,92.8,0.174,20,22.7
OL-SEQ1-2021,OL,SEQ1,2021-09-19,9,21.109466666666666,16.1,62.5,0,6,13.4
OL-SEQ2-2021,OL,SEQ2,2021-09-19,9,48.194575,16.3,63.6,0,9,22.1
OL-SEQ3-2021,OL,SEQ3,2021-09-19,9,56.94665000000001,15.8,61.7,0,8,17.8
SG-SEQ2-2021,SG,SEQ2,2021-09-18,9,90.73544999999999,14.3,10.1,0,0,40.3
SG-SEQ3-2021,SG,SEQ3,2021-09-18,9,126.45546666666667,14.4,26.6,0,0,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-10-16,10,4.7073,11.8,2.6,0,0,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-10-16,10,4.536,12.4,10.1,0,0,5.6
LAG1-SEQ1-2021,LAG1,SEQ1,2021-10-09,10,154.635,14.2,99.5,0.2,15,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-10-09,10,58.5,14.1,98.8,0.262,13,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-10-09,10,140.452,14.1,98.1,0.202,17,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-10-10,10,44.843999999999994,14.8,94.1,0.374,18,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-10-10,10,267.901125,14.9,93.8,0.168,23,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-10-10,10,74.3652,15.5,94,0.2,20,22.7
OL-SEQ1-2021,OL,SEQ1,2021-10-17,10,18.867200000000004,10.3,65.1,0,3,13.4
OL-SEQ2-2021,OL,SEQ2,2021-10-17,10,47.4266,10.3,61.5,0,4,22.1
OL-SEQ3-2021,OL,SEQ3,2021-10-17,10,58.646550000000005,10.3,58.6,0,7,17.8
SG-SEQ2-2021,SG,SEQ2,2021-10-16,10,44.6832,9.35,5.5,0,0,18
SG-SEQ3-2021,SG,SEQ3,2021-10-16,10,62.2497,10.1,15.6,0,0,24.45
